Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Category
326,Negative Regulation Of Programmed Cell Death (GO:0043069),0.019978560443791576,2.21378317876559,8.66274512368475,"['GREM1', 'SOCS3', 'STIL', 'FCMR', 'WNT5A', 'KIF14', 'CDK1', 'SLC7A11', 'MAD2L1', 'BIRC3']",0.11730579580581789,0,0,GO_Biological_Process_2023
327,Regulation Of Interleukin-2 Production (GO:0032663),0.020029165138670552,5.53030303030303,21.626613953217174,"['PNP', 'IL1B', 'GBP1']",0.11730579580581789,0,0,GO_Biological_Process_2023
328,Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718),0.020029165138670552,5.53030303030303,21.626613953217174,"['IL1B', 'AGT', 'FERMT2']",0.11730579580581789,0,0,GO_Biological_Process_2023
329,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474),0.020249927978736693,10.111680327868852,39.43154947838899,"['TAP2', 'IFI30']",0.11730579580581789,0,0,GO_Biological_Process_2023
330,Response To Cholesterol (GO:0070723),0.020249927978736693,10.111680327868852,39.43154947838899,"['GRAMD1C', 'CCL3']",0.11730579580581789,0,0,GO_Biological_Process_2023
331,Response To Organophosphorus (GO:0046683),0.020249927978736693,10.111680327868852,39.43154947838899,"['STAT1', 'TRIM16']",0.11730579580581789,0,0,GO_Biological_Process_2023
332,Icosanoid Biosynthetic Process (GO:0046456),0.020249927978736693,10.111680327868852,39.43154947838899,"['CASP1', 'FADS1']",0.11730579580581789,0,0,GO_Biological_Process_2023
333,Neutrophil Activation (GO:0042119),0.020249927978736693,10.111680327868852,39.43154947838899,"['CXCL8', 'CXCR2']",0.11730579580581789,0,0,GO_Biological_Process_2023
334,Nitric Oxide Mediated Signal Transduction (GO:0007263),0.020249927978736693,10.111680327868852,39.43154947838899,"['NOS2', 'FPR1']",0.11730579580581789,0,0,GO_Biological_Process_2023
335,Positive Regulation Of Epidermal Cell Differentiation (GO:0045606),0.020249927978736693,10.111680327868852,39.43154947838899,"['SULT2B1', 'TRIM16']",0.11730579580581789,0,0,GO_Biological_Process_2023
336,Protein Autoprocessing (GO:0016540),0.020249927978736693,10.111680327868852,39.43154947838899,"['CTSL', 'CASP1']",0.11730579580581789,0,0,GO_Biological_Process_2023
337,"Protein Localization To Chromosome, Centromeric Region (GO:0071459)",0.020249927978736693,10.111680327868852,39.43154947838899,"['CDK1', 'TTK']",0.11730579580581789,0,0,GO_Biological_Process_2023
338,Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749),0.020249927978736693,10.111680327868852,39.43154947838899,"['KIF14', 'AURKA']",0.11730579580581789,0,0,GO_Biological_Process_2023
339,Regulation Of Response To External Stimulus (GO:0032101),0.02047676009931564,3.3385483980681587,12.981827560412354,"['IRF1', 'WNT5A', 'CASP1', 'SELE', 'BIRC3']",0.11826990051463133,0,0,GO_Biological_Process_2023
340,Calcium-Mediated Signaling (GO:0019722),0.0208263090428268,4.01448831751862,15.542245010037089,"['CXCL8', 'CCL20', 'CCL3', 'SELE']",0.11923366405220723,0,0,GO_Biological_Process_2023
341,Transport Across Blood-Brain Barrier (GO:0150104),0.0208263090428268,4.01448831751862,15.542245010037089,"['SLC7A5', 'ABCC1', 'SLC2A1', 'SLC38A5']",0.11923366405220723,0,0,GO_Biological_Process_2023
342,Positive Regulation Of Endothelial Cell Migration (GO:0010595),0.0208263090428268,4.01448831751862,15.542245010037089,"['ZC3H12A', 'WNT5A', 'GFUS', 'AGT']",0.11923366405220723,0,0,GO_Biological_Process_2023
343,Cellular Response To Mechanical Stimulus (GO:0071260),0.021174898736831083,5.407133058984911,20.84416713755184,"['IL1B', 'IRF1', 'CASP1']",0.12087595255602117,0,0,GO_Biological_Process_2023
344,Proteolysis (GO:0006508),0.021404040097880064,2.2989471193659057,8.837556387822591,"['MMP12', 'SRGN', 'CFH', 'CTSL', 'PLAU', 'MMP1', 'UBD', 'MMP3', 'CASP1']",0.12182880962688711,0,0,GO_Biological_Process_2023
345,Protein Homooligomerization (GO:0051260),0.021740938750481595,3.2843662160353366,12.57438726543979,"['GBP5', 'STEAP4', 'MLKL', 'FOXM1', 'SOD2']",0.12338770456070423,0,0,GO_Biological_Process_2023
346,Unsaturated Fatty Acid Metabolic Process (GO:0033559),0.022355886156743845,5.289318303811058,20.102930282782392,"['CYP2J2', 'EPHX1', 'FADS1']",0.12453066271950272,0,0,GO_Biological_Process_2023
347,Interferon-Mediated Signaling Pathway (GO:0140888),0.022355886156743845,5.289318303811058,20.102930282782392,"['OAS2', 'STAT1', 'IRF1']",0.12453066271950272,0,0,GO_Biological_Process_2023
348,Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903556),0.022355886156743845,5.289318303811058,20.102930282782392,"['CD274', 'ARG2', 'ZC3H12A']",0.12453066271950272,0,0,GO_Biological_Process_2023
349,Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),0.022451135822259684,9.51639344262295,36.12816998649114,"['CDH3', 'IGFBP5']",0.12453066271950272,0,0,GO_Biological_Process_2023
350,Regulation Of Neuroinflammatory Response (GO:0150077),0.022451135822259684,9.51639344262295,36.12816998649114,"['IL1B', 'MMP3']",0.12453066271950272,0,0,GO_Biological_Process_2023
351,Regulation Of Nuclear Division (GO:0051783),0.022451135822259684,9.51639344262295,36.12816998649114,"['CDCA2', 'MKI67']",0.12453066271950272,0,0,GO_Biological_Process_2023
352,Steroid Hormone Biosynthetic Process (GO:0120178),0.022451135822259684,9.51639344262295,36.12816998649114,"['HSD3B1', 'HSD17B2']",0.12453066271950272,0,0,GO_Biological_Process_2023
353,Linoleic Acid Metabolic Process (GO:0043651),0.022451135822259684,9.51639344262295,36.12816998649114,"['CYP2J2', 'FADS1']",0.12453066271950272,0,0,GO_Biological_Process_2023
354,Negative Regulation Of Cytokine Production (GO:0001818),0.023020389953367852,2.8462209302325583,10.734166278790797,"['SRGN', 'CD274', 'ZC3H12A', 'XAF1', 'TRIB2', 'GBP1']",0.12732746759518151,0,0,GO_Biological_Process_2023
355,Negative Regulation Of Neuron Death (GO:1901215),0.023317861316612898,3.8705234159779613,14.547500173330514,"['KIF14', 'CCL2', 'SOD2', 'PPARGC1A']",0.12860949988148748,0,0,GO_Biological_Process_2023
356,Negative Regulation Of Gene Expression (GO:0010629),0.023701331337978936,2.2560678202299385,8.442711272939171,"['SRGN', 'SLC7A5', 'CXCL8', 'IGFBP5', 'NOS2', 'ZC3H12A', 'CCL3', 'PARP9', 'AURKA']",0.13035732235888414,0,0,GO_Biological_Process_2023
357,Cell Projection Organization (GO:0030030),0.024746259926882515,8.987249544626593,33.24456327292995,"['SCIN', 'PLEK']",0.13352927211781696,0,0,GO_Biological_Process_2023
358,Regulation Of Spindle Organization (GO:0090224),0.024746259926882515,8.987249544626593,33.24456327292995,"['TPX2', 'STIL']",0.13352927211781696,0,0,GO_Biological_Process_2023
359,Regulation Of Toll-Like Receptor Signaling Pathway (GO:0034121),0.024746259926882515,8.987249544626593,33.24456327292995,"['IRF1', 'BIRC3']",0.13352927211781696,0,0,GO_Biological_Process_2023
360,Xenobiotic Transport (GO:0042908),0.024746259926882515,8.987249544626593,33.24456327292995,"['SLC7A5', 'ABCC1']",0.13352927211781696,0,0,GO_Biological_Process_2023
361,Regulation Of Calcium Ion Import (GO:0090279),0.024746259926882515,8.987249544626593,33.24456327292995,"['CCL3', 'CCL2']",0.13352927211781696,0,0,GO_Biological_Process_2023
362,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),0.024823623621494057,5.068415637860082,18.73265899679814,"['CXCL10', 'CXCL9', 'CXCL11']",0.13352927211781696,0,0,GO_Biological_Process_2023
363,Negative Regulation Of MAP Kinase Activity (GO:0043407),0.024823623621494057,5.068415637860082,18.73265899679814,"['LYN', 'IL1B', 'AGT']",0.13352927211781696,0,0,GO_Biological_Process_2023
364,Receptor Internalization (GO:0031623),0.024823623621494057,5.068415637860082,18.73265899679814,"['CXCL8', 'RAB31', 'CXCR2']",0.13352927211781696,0,0,GO_Biological_Process_2023
365,Positive Regulation Of MAP Kinase Activity (GO:0043406),0.025983062634584966,3.736487128336658,13.639337788048698,"['IL1B', 'WNT5A', 'S100A12', 'CD24']",0.13892398289279295,0,0,GO_Biological_Process_2023
366,Positive Regulation Of GTPase Activity (GO:0043547),0.026086210223276823,2.5194735774980184,9.186878569621241,"['CCL8', 'CCL20', 'RGS1', 'CCL3', 'CCL2', 'RAPGEFL1', 'FERMT2']",0.13892398289279295,0,0,GO_Biological_Process_2023
367,Arachidonic Acid Metabolic Process (GO:0019369),0.026110329777603577,4.964726631393298,18.098534936300602,"['CYP2J2', 'CYP2S1', 'EPHX1']",0.13892398289279295,0,0,GO_Biological_Process_2023
368,Cell Cycle G1/S Phase Transition (GO:0044843),0.026110329777603577,4.964726631393298,18.098534936300602,"['CCNA2', 'CCND1', 'CDKN3']",0.13892398289279295,0,0,GO_Biological_Process_2023
369,Steroid Metabolic Process (GO:0008202),0.026910437685403504,3.6938392186326072,13.354119173782868,"['SULT2B1', 'HSD11B2', 'HSD17B2', 'HSD3B1']",0.1424071269946488,0,0,GO_Biological_Process_2023
370,Positive Regulation Of Neuron Projection Development (GO:0010976),0.026910437685403504,3.6938392186326072,13.354119173782868,"['LYN', 'WNT5A', 'COBL', 'S100A9']",0.1424071269946488,0,0,GO_Biological_Process_2023
371,Modulation By Symbiont Of Entry Into Host (GO:0052372),0.027132676844984754,8.513805004314063,30.709435041815343,"['CXCL8', 'TRIM22']",0.14242836799592534,0,0,GO_Biological_Process_2023
372,Positive Regulation Of T Cell Cytokine Production (GO:0002726),0.027132676844984754,8.513805004314063,30.709435041815343,"['FZD5', 'IL1B']",0.14242836799592534,0,0,GO_Biological_Process_2023
373,Purine Nucleotide Biosynthetic Process (GO:0006164),0.027132676844984754,8.513805004314063,30.709435041815343,"['KYNU', 'NAMPT']",0.14242836799592534,0,0,GO_Biological_Process_2023
374,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660),0.028789179895297057,4.769547325102881,16.921188520715546,"['IGFBP5', 'STAT1', 'PPARGC1A']",0.15071982415773166,0,0,GO_Biological_Process_2023
375,NAD Metabolic Process (GO:0019674),0.0296078129745657,8.087704918032786,28.466432496142314,"['KYNU', 'NAMPT']",0.15336533810634825,0,0,GO_Biological_Process_2023
376,Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744),0.0296078129745657,8.087704918032786,28.466432496142314,"['CXCL8', 'PLEK']",0.15336533810634825,0,0,GO_Biological_Process_2023
377,Positive Regulation Of Phosphatase Activity (GO:0010922),0.0296078129745657,8.087704918032786,28.466432496142314,"['PLEK', 'CHP2']",0.15336533810634825,0,0,GO_Biological_Process_2023
378,Positive Regulation Of Receptor Internalization (GO:0002092),0.0296078129745657,8.087704918032786,28.466432496142314,"['GREM1', 'SELE']",0.15336533810634825,0,0,GO_Biological_Process_2023
379,Positive Regulation Of Epithelial Cell Migration (GO:0010634),0.02981045273363161,3.571519389701208,12.546376835521068,"['ZC3H12A', 'WNT5A', 'GFUS', 'AGT']",0.15400756319907835,0,0,GO_Biological_Process_2023
380,Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),0.03160811011082501,4.589098532494759,15.852313702235096,"['ZC3H12A', 'FOXM1', 'AGT']",0.1624944963601873,0,0,GO_Biological_Process_2023
381,Regulation Of Cell Cycle (GO:0051726),0.031619204858647276,2.2560417270356417,7.792346905534726,"['CDC20', 'IRF1', 'PCLAF', 'CKS2', 'FOXM1', 'DLGAP5', 'CDKN3', 'BIRC3']",0.1624944963601873,0,0,GO_Biological_Process_2023
382,Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429),0.03216914377794327,7.702185792349726,26.470468179458557,"['LYN', 'FPR1']",0.1644573982172661,0,0,GO_Biological_Process_2023
383,Negative Regulation Of Actin Filament Polymerization (GO:0030837),0.03216914377794327,7.702185792349726,26.470468179458557,"['SCIN', 'PFN2']",0.1644573982172661,0,0,GO_Biological_Process_2023
384,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),0.03288846914816082,3.4570072094250044,11.804411467089402,"['MUC1', 'ACSL1', 'LCN2', 'PPARGC1A']",0.16769693383359083,0,0,GO_Biological_Process_2023
385,Positive Regulation Of Protein Kinase Activity (GO:0045860),0.033692785173713144,2.9066390041493775,9.854876862318465,"['CCNA2', 'TPX2', 'CENPE', 'KIF14', 'AGT']",0.1713518788834554,0,0,GO_Biological_Process_2023
386,Positive Regulation Of Type II Interferon Production (GO:0032729),0.034566304564603564,4.421773288439955,14.87871849707596,"['SLC7A5', 'FZD5', 'IL1B']",0.17389334127675918,0,0,GO_Biological_Process_2023
387,Regulation Of Cytokine Production Involved In Immune Response (GO:0002718),0.034814192942027374,7.351713859910581,24.68507115062693,"['SLC7A5', 'WNT5A']",0.17389334127675918,0,0,GO_Biological_Process_2023
388,ERK1 And ERK2 Cascade (GO:0070371),0.034814192942027374,7.351713859910581,24.68507115062693,"['DUSP5', 'CDK1']",0.17389334127675918,0,0,GO_Biological_Process_2023
389,Lipid Translocation (GO:0034204),0.034814192942027374,7.351713859910581,24.68507115062693,"['ABCC1', 'ATP10B']",0.17389334127675918,0,0,GO_Biological_Process_2023
390,Mononuclear Cell Differentiation (GO:1903131),0.034814192942027374,7.351713859910581,24.68507115062693,"['LYN', 'IFI16']",0.17389334127675918,0,0,GO_Biological_Process_2023
391,Positive Regulation Of BMP Signaling Pathway (GO:0030513),0.034814192942027374,7.351713859910581,24.68507115062693,"['CCNA2', 'FOXD1']",0.17389334127675918,0,0,GO_Biological_Process_2023
392,Positive Regulation Of p38MAPK Cascade (GO:1900745),0.034814192942027374,7.351713859910581,24.68507115062693,"['IL1B', 'ZC3H12A']",0.17389334127675918,0,0,GO_Biological_Process_2023
393,Regulation Of Multicellular Organismal Development (GO:2000026),0.03609730847563741,4.342592592592593,14.424081858812876,"['OAS2', 'CDK1', 'CD24']",0.17893298732986848,0,0,GO_Biological_Process_2023
394,Glucose Metabolic Process (GO:0006006),0.03609730847563741,4.342592592592593,14.424081858812876,"['FBP1', 'PPARGC1A', 'HK2']",0.17893298732986848,0,0,GO_Biological_Process_2023
395,Positive Regulation Of Proteolysis (GO:0045862),0.03609730847563741,4.342592592592593,14.424081858812876,"['CTSL', 'IL1B', 'ZC3H12A']",0.17893298732986848,0,0,GO_Biological_Process_2023
396,Negative Regulation Of Protein Phosphorylation (GO:0001933),0.037209349155140896,2.8253227293683727,9.298688684186478,"['LYN', 'GREM1', 'ZC3H12A', 'TRIB2', 'WARS1']",0.1825336805835401,0,0,GO_Biological_Process_2023
397,Regulation Of Chondrocyte Differentiation (GO:0032330),0.0375405315899198,7.031717747683535,23.080446855476527,"['GREM1', 'SCIN']",0.1825336805835401,0,0,GO_Biological_Process_2023
398,Regulation Of Keratinocyte Proliferation (GO:0010837),0.0375405315899198,7.031717747683535,23.080446855476527,"['GPR15LG', 'CDH3']",0.1825336805835401,0,0,GO_Biological_Process_2023
399,Response To Zinc Ion (GO:0010043),0.0375405315899198,7.031717747683535,23.080446855476527,"['MT1X', 'CRIP1']",0.1825336805835401,0,0,GO_Biological_Process_2023
400,"Wound Healing, Spreading Of Cells (GO:0044319)",0.0375405315899198,7.031717747683535,23.080446855476527,"['CCNA2', 'MMP12']",0.1825336805835401,0,0,GO_Biological_Process_2023
401,Metanephros Development (GO:0001656),0.0375405315899198,7.031717747683535,23.080446855476527,"['OSR2', 'FOXD1']",0.1825336805835401,0,0,GO_Biological_Process_2023
402,Positive Regulation Of Interleukin-2 Production (GO:0032743),0.0375405315899198,7.031717747683535,23.080446855476527,"['PNP', 'IL1B']",0.1825336805835401,0,0,GO_Biological_Process_2023
403,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),0.03766272061069979,4.266190166774962,13.98919812233713,"['CEACAM6', 'NEXN', 'MPZL2']",0.1825336805835401,0,0,GO_Biological_Process_2023
404,Positive Regulation Of Phagocytosis (GO:0050766),0.03766272061069979,4.266190166774962,13.98919812233713,"['RAB31', 'IL1B', 'CCL2']",0.1825336805835401,0,0,GO_Biological_Process_2023
405,Positive Regulation Of Cell Junction Assembly (GO:1901890),0.03926237780294388,4.192422307364836,13.572919118050503,"['SLITRK6', 'AGT', 'FERMT2']",0.18981663145225708,0,0,GO_Biological_Process_2023
406,"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)",0.0403457775115726,6.738387978142076,21.63203491158038,"['FZD7', 'WNT5A']",0.19127610742774614,0,0,GO_Biological_Process_2023
407,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.0403457775115726,6.738387978142076,21.63203491158038,"['CTSL', 'IFI30']",0.19127610742774614,0,0,GO_Biological_Process_2023
408,Cellular Response To Xenobiotic Stimulus (GO:0071466),0.0403457775115726,6.738387978142076,21.63203491158038,"['IL1B', 'FBP1']",0.19127610742774614,0,0,GO_Biological_Process_2023
409,Response To Glucocorticoid (GO:0051384),0.0403457775115726,6.738387978142076,21.63203491158038,"['IL1RN', 'HSD3B1']",0.19127610742774614,0,0,GO_Biological_Process_2023
410,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),0.0403457775115726,6.738387978142076,21.63203491158038,"['MUC1', 'CCND1']",0.19127610742774614,0,0,GO_Biological_Process_2023
411,Positive Regulation Of Monooxygenase Activity (GO:0032770),0.0403457775115726,6.738387978142076,21.63203491158038,"['CDH3', 'IL1B']",0.19127610742774614,0,0,GO_Biological_Process_2023
412,Positive Regulation Of Nuclear Division (GO:0051785),0.0403457775115726,6.738387978142076,21.63203491158038,"['IL1B', 'NUSAP1']",0.19127610742774614,0,0,GO_Biological_Process_2023
413,Regulation Of Actin Filament Bundle Assembly (GO:0032231),0.0403457775115726,6.738387978142076,21.63203491158038,"['PLEK', 'PFN2']",0.19127610742774614,0,0,GO_Biological_Process_2023
414,Fat Cell Differentiation (GO:0045444),0.04089610465475408,4.121155053358443,13.17418068278329,"['STEAP4', 'PPARGC1A', 'PSMB8']",0.19270922462425588,0,0,GO_Biological_Process_2023
415,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),0.04089610465475408,4.121155053358443,13.17418068278329,"['CTSL', 'S100A9', 'S100A8']",0.19270922462425588,0,0,GO_Biological_Process_2023
416,Regulation Of Cellular Component Organization (GO:0051128),0.040943328622926684,2.7484019288998542,8.782700849844245,"['WNT5A', 'KIF14', 'MKI67', 'AGT', 'AURKA']",0.19270922462425588,0,0,GO_Biological_Process_2023
417,Epithelium Development (GO:0060429),0.04191104001414149,2.7298170375114874,8.65954199058026,"['EHF', 'STIL', 'STAT1', 'CDK1', 'ALDOC']",0.19679092649325908,0,0,GO_Biological_Process_2023
418,Positive Regulation Of T Cell Activation (GO:0050870),0.043199893711157594,3.153494343256038,9.908018256326693,"['CD274', 'PNP', 'IL1B', 'CCL2']",0.20104425126940345,0,0,GO_Biological_Process_2023
419,Regulation Of Peptidase Activity (GO:0052547),0.04322759437406479,6.468524590163934,20.319422531736357,"['CTSL', 'PSMB8']",0.20104425126940345,0,0,GO_Biological_Process_2023
420,Microtubule Polymerization Or Depolymerization (GO:0031109),0.04322759437406479,6.468524590163934,20.319422531736357,"['TPPP3', 'KIF14']",0.20104425126940345,0,0,GO_Biological_Process_2023
421,Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Phospholipase C-activating G Protein-Coupled Signaling Pathway (GO:0051482),0.04322759437406479,6.468524590163934,20.319422531736357,"['GNA15', 'LPAR1']",0.20104425126940345,0,0,GO_Biological_Process_2023
422,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),0.043467228120183145,1.8074805928016937,5.667803656385269,"['OSR2', 'STAT1', 'FZD7', 'IL1B', 'IRF1', 'WNT5A', 'BMAL2', 'TRIM16', 'PARP9', 'FOXM1', 'PPARGC1A', 'AGT']",0.2016796982448308,0,0,GO_Biological_Process_2023
423,Response To Metal Ion (GO:0010038),0.04426500727932177,3.985630439182352,12.425445290112389,"['PLSCR1', 'MT1X', 'CRIP1']",0.20441246286064158,0,0,GO_Biological_Process_2023
424,Positive Regulation Of Type I Interferon Production (GO:0032481),0.04426500727932177,3.985630439182352,12.425445290112389,"['OAS2', 'STAT1', 'IRF1']",0.20441246286064158,0,0,GO_Biological_Process_2023
425,Positive Regulation Of Metabolic Process (GO:0009893),0.04444567893122855,3.1230133502860777,9.723463133517852,"['MUC1', 'ACSL1', 'LCN2', 'PPARGC1A']",0.20476385728787178,0,0,GO_Biological_Process_2023
426,Cellular Response To Salt (GO:1902075),0.045711469224843745,3.093112947658402,9.543509386103588,"['P2RY2', 'ZC3H12A', 'WNT5A', 'CHP2']",0.20692829951587424,0,0,GO_Biological_Process_2023
427,Extracellular Structure Organization (GO:0043062),0.045711469224843745,3.093112947658402,9.543509386103588,"['MMP12', 'MMP1', 'MMP3', 'TGFBI']",0.20692829951587424,0,0,GO_Biological_Process_2023
428,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),0.04599977513087055,3.921146953405018,12.073677187938971,"['LYN', 'SOCS3', 'PARP9']",0.20692829951587424,0,0,GO_Biological_Process_2023
429,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),0.04618369095425794,6.2194199243379575,19.125515791589837,"['CTSL', 'IFI30']",0.20692829951587424,0,0,GO_Biological_Process_2023
430,Regulation Of Monoatomic Ion Transport (GO:0043269),0.04618369095425794,6.2194199243379575,19.125515791589837,"['KCNJ15', 'PDZK1']",0.20692829951587424,0,0,GO_Biological_Process_2023
431,Regulation Of Platelet Activation (GO:0010543),0.04618369095425794,6.2194199243379575,19.125515791589837,"['LYN', 'PLEK']",0.20692829951587424,0,0,GO_Biological_Process_2023
432,Regulation Of Protein Localization To Membrane (GO:1905475),0.04618369095425794,6.2194199243379575,19.125515791589837,"['PDZK1', 'GBP1']",0.20692829951587424,0,0,GO_Biological_Process_2023
433,Hematopoietic Progenitor Cell Differentiation (GO:0002244),0.04618369095425794,6.2194199243379575,19.125515791589837,"['LYN', 'PLEK']",0.20692829951587424,0,0,GO_Biological_Process_2023
434,Negative Regulation Of Type II Interferon Production (GO:0032689),0.04618369095425794,6.2194199243379575,19.125515791589837,"['CD274', 'ZC3H12A']",0.20692829951587424,0,0,GO_Biological_Process_2023
435,Phospholipid Catabolic Process (GO:0009395),0.04618369095425794,6.2194199243379575,19.125515791589837,"['SMPD3', 'LIPG']",0.20692829951587424,0,0,GO_Biological_Process_2023
436,Positive Regulation Of Protein Import Into Nucleus (GO:0042307),0.04618369095425794,6.2194199243379575,19.125515791589837,"['ZC3H12A', 'CHP2']",0.20692829951587424,0,0,GO_Biological_Process_2023
437,Primary Neural Tube Formation (GO:0014020),0.04618369095425794,6.2194199243379575,19.125515791589837,"['STIL', 'COBL']",0.20692829951587424,0,0,GO_Biological_Process_2023
438,External Encapsulating Structure Organization (GO:0045229),0.046997248005641014,3.0637767035708716,9.36800656907415,"['MMP12', 'MMP1', 'MMP3', 'TGFBI']",0.21009272053663267,0,0,GO_Biological_Process_2023
439,Regulation Of Establishment Of Planar Polarity (GO:0090175),0.049211820428061895,5.988767455980571,18.03590042012031,"['FZD7', 'WNT5A']",0.21556318657303178,0,0,GO_Biological_Process_2023
440,Alpha-Amino Acid Catabolic Process (GO:1901606),0.049211820428061895,5.988767455980571,18.03590042012031,"['KYNU', 'IDO1']",0.21556318657303178,0,0,GO_Biological_Process_2023
441,Chondrocyte Differentiation (GO:0002062),0.049211820428061895,5.988767455980571,18.03590042012031,"['OSR2', 'SLC26A2']",0.21556318657303178,0,0,GO_Biological_Process_2023
442,Response To Alcohol (GO:0097305),0.049211820428061895,5.988767455980571,18.03590042012031,"['HSD3B1', 'CCL3']",0.21556318657303178,0,0,GO_Biological_Process_2023
443,Tube Closure (GO:0060606),0.049211820428061895,5.988767455980571,18.03590042012031,"['STIL', 'COBL']",0.21556318657303178,0,0,GO_Biological_Process_2023
444,Glycolytic Process (GO:0006096),0.049211820428061895,5.988767455980571,18.03590042012031,"['ALDOC', 'HK2']",0.21556318657303178,0,0,GO_Biological_Process_2023
445,Integrated Stress Response Signaling (GO:0140467),0.049211820428061895,5.988767455980571,18.03590042012031,"['BATF2', 'NFE2L3']",0.21556318657303178,0,0,GO_Biological_Process_2023
446,Positive Regulation Of Calcium Ion Transport (GO:0051928),0.049211820428061895,5.988767455980571,18.03590042012031,"['CCL3', 'CCL2']",0.21556318657303178,0,0,GO_Biological_Process_2023
447,Positive Regulation Of Dephosphorylation (GO:0035306),0.049211820428061895,5.988767455980571,18.03590042012031,"['CDCA2', 'CHP2']",0.21556318657303178,0,0,GO_Biological_Process_2023
448,Positive Regulation Of Cellular Component Organization (GO:0051130),0.050974281762193645,2.9789976495564487,8.86679004682068,"['CDC20', 'MMP1', 'MMP3', 'WARS1']",0.22278491895173028,0,0,GO_Biological_Process_2023
449,Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912),0.05230977958026773,5.774590163934426,17.038343675733206,"['PLEK', 'FBP1']",0.22466905483270133,0,0,GO_Biological_Process_2023
450,Prostaglandin Metabolic Process (GO:0006693),0.05230977958026773,5.774590163934426,17.038343675733206,"['HPGDS', 'CYP2S1']",0.22466905483270133,0,0,GO_Biological_Process_2023
451,Regulation Of Cytoskeleton Organization (GO:0051493),0.05233975884994869,2.9517655897821187,8.707705506409145,"['BST2', 'NEXN', 'S100A9', 'S100A8']",0.22466905483270133,0,0,GO_Biological_Process_2023
452,Regulation Of Interleukin-6 Production (GO:0032675),0.05233975884994869,2.9517655897821187,8.707705506409145,"['NOS2', 'IL1B', 'ZC3H12A', 'WNT5A']",0.22466905483270133,0,0,GO_Biological_Process_2023
453,Phospholipid Metabolic Process (GO:0006644),0.053269045827141884,3.6827534605312384,10.799305769733412,"['SMPD3', 'LIPG', 'FADS1']",0.22466905483270133,0,0,GO_Biological_Process_2023
454,Regulation Of Gluconeogenesis (GO:0006111),0.05547540811203006,5.575183719615602,16.12240243652396,"['PPARGC1A', 'FBP1']",0.22466905483270133,0,0,GO_Biological_Process_2023
455,Regulation Of Macrophage Activation (GO:0043030),0.05547540811203006,5.575183719615602,16.12240243652396,"['ZC3H12A', 'WNT5A']",0.22466905483270133,0,0,GO_Biological_Process_2023
456,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),0.05547540811203006,5.575183719615602,16.12240243652396,"['CTSL', 'IFI30']",0.22466905483270133,0,0,GO_Biological_Process_2023
457,Regulation Of Response To Biotic Stimulus (GO:0002831),0.05547540811203006,5.575183719615602,16.12240243652396,"['IRF1', 'BIRC3']",0.22466905483270133,0,0,GO_Biological_Process_2023
458,Cellular Response To cAMP (GO:0071320),0.05547540811203006,5.575183719615602,16.12240243652396,"['IGFBP5', 'AQP9']",0.22466905483270133,0,0,GO_Biological_Process_2023
459,Leukocyte Cell-Cell Adhesion (GO:0007159),0.05547540811203006,5.575183719615602,16.12240243652396,"['GFUS', 'SELE']",0.22466905483270133,0,0,GO_Biological_Process_2023
460,Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087),0.05547540811203006,5.575183719615602,16.12240243652396,"['STIL', 'CDC6']",0.22466905483270133,0,0,GO_Biological_Process_2023
461,Regulation Of Cytokine Production (GO:0001817),0.05574799227751582,2.509092771886686,7.243534755012176,"['LYN', 'SRGN', 'IFI16', 'NOS2', 'AGT']",0.22466905483270133,0,0,GO_Biological_Process_2023
462,Synapse Assembly (GO:0007416),0.05709835221449002,3.574074074074074,10.232502666312914,"['FZD5', 'WNT5A', 'SLITRK6']",0.22466905483270133,0,0,GO_Biological_Process_2023
